candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,r0_vs_rs_gain_pct,d1_vs_ds_gain_pct,d1_vs_d0_gain_pct,d0_vs_ds_gain_pct,r1_vs_d1_gain_pct,d1_vs_dc_done_stretch_pct,gemm_only_vs_r0_gemm_pct
C0_DEFAULT,512,2,9.291,-28.106,29.192,-1.261,32.049,-49.020,55.360,37.502,
C0_DEFAULT,512,4,15.338,-26.918,33.294,-0.161,-55.817,35.719,80.726,132.012,
C0_DEFAULT,512,8,20.915,-15.009,31.236,0.553,-112.427,53.185,87.179,19.330,
C0_DEFAULT,2048,2,-0.746,-6.484,5.388,-0.251,33.177,-50.026,35.131,67.990,
C0_DEFAULT,2048,4,8.536,-4.282,12.292,1.195,28.227,-37.664,40.787,41.489,
C0_DEFAULT,2048,8,10.068,-60.325,43.907,7.539,-54.799,40.270,57.812,64.663,
C0_DEFAULT,2048,16,14.241,,,0.001,,,76.842,70.149,
C0_DEFAULT,4096,2,0.076,-2.930,2.921,-0.846,23.126,-31.184,19.164,182.551,
C0_DEFAULT,4096,4,3.011,8.331,-5.803,0.315,27.464,-37.428,23.599,86.960,
C0_DEFAULT,4096,8,3.086,8.455,-5.865,-0.058,16.080,-19.230,34.252,25.350,
C0_DEFAULT,4096,16,,,,,,,,,
C2_RING_SIMPLE_CH8,512,2,,,,,,,,,
C2_RING_SIMPLE_CH8,512,4,,,,,,,,,
C2_RING_SIMPLE_CH8,512,8,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,2,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,4,,,,,,,,,
C2_RING_SIMPLE_CH8,2048,8,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,2,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,4,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,8,,,,,,,,,
C2_RING_SIMPLE_CH8,4096,16,,,,,,,,,
